ORDER|ID|UPDATE|STATUS|MOTIVE|INTEREST_RATE|AMOUNT|CAT|CP|DELIVERY_SCORE
92,0|29|51:44.0|APPROVED|PLASTIC|42,0|51600,0|42,0||
93,0|29|33:34.6|DELIVERED|||||11560,0|2,0
94,0|30|00:00.0|NOT RESPOND||||||
95,0|31|22:54.6|RESPONSE||||||
96,0|31|21:00.5|RISK||||||
97,0|31|27:18.8|APPROVED|PLASTIC|35,0|39700,0|37,0||
98,0|31|22:32.7|DELIVERED|||||64000,0|1,0
101,0|33|56:26.0|RESPONSE||||||
102,0|33|48:04.7|RISK||||||
103,0|33|54:43.4|APPROVED|PLASTIC|35,0|36000,0|43,0||
104,0|33|44:43.3|DELIVERED|||||53100,0|3,0
106,0|35|33:54.2|RESPONSE||||||
107,0|35|14:55.3|RISK||||||
108,0|35|20:06.7|APPROVED|DIGITAL|39,0|2000,0|43,0||
114,0|37|50:37.5|RESPONSE||||||
115,0|37|11:35.5|RISK||||||
116,0|37|16:10.0|APPROVED|DIGITAL|45,0|3200,0|35,0||
118,0|38|00:00.0|NOT RESPOND||||||
119,0|41|45:03.8|RESPONSE||||||
120,0|41|15:31.5|RISK||||||
121,0|41|48:27.4|REJECTED|USAGE|||||
122,0|43|00:00.0|NOT RESPOND||||||
123,0|44|26:29.6|RESPONSE||||||
124,0|44|30:40.3|RISK||||||
125,0|44|06:12.4|APPROVED|DIGITAL|49,0|13200,0|35,0||
126,0|45|32:37.9|RESPONSE||||||
127,0|45|38:24.3|RISK||||||
128,0|45|40:50.8|APPROVED|PLASTIC|35,0|13000,0|45,0||
129,0|45|33:48.5|DELIVERED|||||53100,0|2,0
130,0|46|00:00.0|NOT RESPOND||||||
131,0|47|57:29.1|RESPONSE||||||
132,0|47|09:24.3|RISK||||||
133,0|47|43:46.3|APPROVED|PLASTIC|46,0|15100,0|41,0||
134,0|47|29:24.0|DELIVERED|||||44100,0|3,0
136,0|49|18:08.2|RESPONSE||||||
137,0|49|27:43.9|RISK||||||
138,0|49|24:41.4|APPROVED|PLASTIC|46,0|7900,0|44,0||
139,0|49|50:56.9|DELIVERED|||||53100,0|2,0
141,0|51|38:29.9|RESPONSE||||||
142,0|51|35:23.5|RISK||||||
143,0|51|59:37.2|APPROVED|PLASTIC|40,0|5100,0|39,0||
144,0|51|33:57.6|DELIVERED|||||11560,0|1,0
150,0|52|20:34.7|RESPONSE||||||
151,0|52|53:42.8|RISK||||||
152,0|52|36:32.1|REJECTED|MOP|||||
153,0|53|22:43.9|RESPONSE||||||
154,0|53|12:40.4|RISK||||||
155,0|53|51:23.5|APPROVED|PLASTIC|33,0|17200,0|34,0||
156,0|53|35:56.3|DELIVERED|||||11560,0|3,0
160,0|54|42:07.1|RESPONSE||||||
161,0|54|24:52.6|RISK||||||
162,0|54|16:32.1|REJECTED|EMPTY|||||
163,0|56|00:00.0|NOT RESPOND||||||
164,0|57|00:00.0|NOT RESPOND||||||
165,0|58|02:57.1|RESPONSE||||||
166,0|58|48:56.2|RISK||||||
167,0|58|43:20.9|APPROVED|DIGITAL|30,0|17100,0|32,0||
172,0|59|20:19.3|RESPONSE||||||
173,0|59|07:40.3|RISK||||||
174,0|59|13:21.2|APPROVED|PLASTIC|49,0|4800,0|40,0||
175,0|59|45:06.7|DELIVERED|||||64000,0|1,0
179,0|60|58:15.0|RESPONSE||||||
180,0|60|27:18.0|RISK||||||
181,0|60|19:37.4|APPROVED|PLASTIC|31,0|13100,0|36,0||
182,0|60|00:23.8|DELIVERED|||||44620,0|2,0
185,0|62|33:32.9|RESPONSE||||||
186,0|62|36:27.8|RISK||||||
187,0|62|39:48.7|APPROVED|DIGITAL|43,0|8200,0|34,0||
192,0|64|21:21.2|RESPONSE||||||
193,0|64|18:18.1|RISK||||||
194,0|64|57:34.4|APPROVED|PLASTIC|33,0|15300,0|39,0||
195,0|64|29:30.1|DELIVERED|||||44620,0|2,0
199,0|65|17:41.6|RESPONSE||||||
200,0|65|37:36.7|RISK||||||
201,0|65|19:26.2|APPROVED|DIGITAL|36,0|5200,0|43,0||
204,0|66|23:22.9|RESPONSE||||||
205,0|66|41:53.8|RISK||||||
206,0|66|15:28.1|REJECTED|USAGE|||||
207,0|68|20:20.2|RESPONSE||||||
208,0|68|27:31.3|RISK||||||
209,0|68|50:01.0|REJECTED|INCOME|||||
210,0|69|45:43.1|RESPONSE||||||
211,0|69|27:05.3|RISK||||||
212,0|69|55:05.2|APPROVED|PLASTIC|30,0|14800,0|31,0||
213,0|69|31:07.7|DELIVERED|||||44100,0|4,0
217,0|70|51:42.6|RESPONSE||||||
218,0|70|49:21.9|RISK||||||
219,0|70|59:25.7|REJECTED|EMPTY|||||
220,0|71|00:00.0|NOT RESPOND||||||
221,0|72|36:05.2|RESPONSE||||||
222,0|72|11:34.7|RISK||||||
223,0|72|15:14.9|APPROVED|PLASTIC|32,0|300,0|32,0||
224,0|72|11:13.8|DELIVERED|||||53100,0|0,0
226,0|75|46:25.6|RESPONSE||||||
227,0|75|26:17.1|RISK||||||
228,0|75|09:24.1|APPROVED|DIGITAL|37,0|0,0|42,0||
229,0|76|19:12.0|RESPONSE||||||
230,0|76|13:15.4|RISK||||||
231,0|76|35:11.8|APPROVED|DIGITAL|47,0|39200,0|42,0||
233,0|77|30:15.9|RESPONSE||||||
234,0|77|52:53.3|RISK||||||
235,0|77|28:43.5|APPROVED|DIGITAL|45,0|2900,0|32,0||
240,0|78|00:00.0|NOT RESPOND||||||
241,0|79|36:18.8|RESPONSE||||||
242,0|79|53:56.4|RISK||||||
243,0|79|26:04.6|APPROVED|PLASTIC|38,0|78900,0|35,0||
244,0|79|50:27.6|DELIVERED|||||53100,0|1,0
249,0|80|17:07.4|RESPONSE||||||
250,0|80|33:19.7|RISK||||||
251,0|80|03:43.5|REJECTED|MOP|||||
252,0|81|00:00.0|NOT RESPOND||||||
253,0|83|00:00.0|NOT RESPOND||||||
254,0|85|03:15.7|RESPONSE||||||
255,0|85|04:33.9|RISK||||||
256,0|85|41:49.8|REJECTED|INCOME|||||
257,0|86|24:16.9|RESPONSE||||||
258,0|86|19:23.4|RISK||||||
259,0|86|56:15.9|REJECTED|EMPTY|||||
260,0|88|23:48.2|RESPONSE||||||
261,0|88|21:46.7|RISK||||||
262,0|88|41:22.9|APPROVED|PLASTIC|38,0|18200,0|43,0||
263,0|88|18:28.6|DELIVERED|||||53100,0|3,0
265,0|89|19:18.8|RESPONSE||||||
266,0|89|32:12.3|RISK||||||
267,0|89|22:54.9|APPROVED|PLASTIC|36,0|4300,0|39,0||
268,0|89|19:24.4|DELIVERED|||||44100,0|3,0
274,0|92|57:11.6|RESPONSE||||||
275,0|92|09:30.9|RISK||||||
276,0|92|38:54.4|APPROVED|PLASTIC|43,0|1700,0|37,0||
277,0|92|45:03.7|DELIVERED|||||11560,0|1,0
278,0|94|01:08.6|RESPONSE||||||
279,0|94|35:24.7|RISK||||||
280,0|94|27:52.2|APPROVED|DIGITAL|42,0|200,0|34,0||
286,0|96|00:00.0|NOT RESPOND||||||
287,0|98|00:00.0|NOT RESPOND||||||
288,0|99|24:44.3|RESPONSE||||||
289,0|99|19:23.1|RISK||||||
290,0|99|20:45.9|APPROVED|DIGITAL|48,0|1400,0|48,0||
294,0|101|45:39.7|RESPONSE||||||
295,0|101|23:32.3|RISK||||||
296,0|101|24:35.1|APPROVED|DIGITAL|33,0|24600,0|34,0||
300,0|103|46:07.7|RESPONSE||||||
301,0|103|34:59.1|RISK||||||
302,0|103|54:48.5|REJECTED|USAGE|||||
303,0|104|45:14.0|RESPONSE||||||
304,0|104|41:59.1|RISK||||||
305,0|104|44:56.2|APPROVED|PLASTIC|34,0|19100,0|35,0||
306,0|104|58:33.6|DELIVERED|||||44100,0|2,0
310,0|105|31:21.9|RESPONSE||||||
311,0|105|30:35.7|RISK||||||
312,0|105|37:35.6|APPROVED|PLASTIC|49,0|2700,0|48,0||
313,0|105|31:22.9|DELIVERED|||||53100,0|2,0
314,0|108|00:00.0|NOT RESPOND||||||
315,0|114|33:25.4|RESPONSE||||||
316,0|114|30:57.9|RISK||||||
317,0|114|40:09.9|REJECTED|MOP|||||
318,0|115|45:46.4|RESPONSE||||||
319,0|115|33:49.5|RISK||||||
320,0|115|34:48.4|APPROVED|PLASTIC|46,0|27400,0|32,0||
321,0|115|00:32.0|DELIVERED|||||64000,0|1,0
327,0|116|00:00.0|NOT RESPOND||||||
328,0|117|45:37.5|RESPONSE||||||
329,0|117|01:32.5|RISK||||||
330,0|117|32:25.6|APPROVED|DIGITAL|44,0|24400,0|46,0||
334,0|118|43:41.5|RESPONSE||||||
335,0|118|48:36.5|RISK||||||
336,0|118|37:09.5|APPROVED|DIGITAL|40,0|36700,0|33,0||
342,0|119|07:21.2|RESPONSE||||||
343,0|119|05:15.2|RISK||||||
344,0|119|44:42.0|APPROVED|DIGITAL|35,0|9700,0|47,0||
347,0|120|43:12.2|RESPONSE||||||
348,0|120|10:19.4|RISK||||||
349,0|120|43:23.6|APPROVED|DIGITAL|43,0|700,0|34,0||
352,0|122|12:07.1|RESPONSE||||||
353,0|122|13:14.5|RISK||||||
354,0|122|04:31.4|REJECTED|INCOME|||||
355,0|123|00:00.0|NOT RESPOND||||||
356,0|124|13:34.0|RESPONSE||||||
357,0|124|19:31.0|RISK||||||
358,0|124|33:59.9|REJECTED|INCOME|||||
359,0|125|00:00.0|NOT RESPOND||||||
360,0|126|26:47.8|RESPONSE||||||
361,0|126|06:03.7|RISK||||||
362,0|126|50:38.7|REJECTED|MOP|||||
363,0|127|08:27.7|RESPONSE||||||
364,0|127|43:23.5|RISK||||||
365,0|127|55:19.8|APPROVED|DIGITAL|33,0|12600,0|44,0||
369,0|128|28:53.1|RESPONSE||||||
370,0|128|53:03.1|RISK||||||
371,0|128|56:51.2|REJECTED|USAGE|||||
372,0|129|43:02.9|RESPONSE||||||
373,0|129|54:25.2|RISK||||||
374,0|129|08:59.4|APPROVED|PLASTIC|45,0|23600,0|37,0||
375,0|129|35:02.8|DELIVERED|||||44100,0|0,0
380,0|130|44:28.9|RESPONSE||||||
381,0|130|43:31.9|RISK||||||
382,0|130|24:02.0|REJECTED|USAGE|||||
383,0|131|00:00.0|NOT RESPOND||||||
384,0|132|26:18.9|RESPONSE||||||
385,0|132|47:03.6|RISK||||||
386,0|132|43:03.9|REJECTED|MOP|||||
387,0|133|00:00.0|NOT RESPOND||||||
388,0|134|51:33.0|RESPONSE||||||
389,0|134|01:36.6|RISK||||||
390,0|134|28:57.6|APPROVED|DIGITAL|40,0|3200,0|49,0||
392,0|135|00:08.3|RESPONSE||||||
393,0|135|59:52.1|RISK||||||
394,0|135|42:52.4|APPROVED|PLASTIC|35,0|9900,0|46,0||
395,0|135|34:22.9|DELIVERED|||||64000,0|2,0
399,0|136|33:26.3|RESPONSE||||||
400,0|136|20:17.2|RISK||||||
401,0|136|12:53.8|APPROVED|PLASTIC|49,0|7900,0|42,0||
402,0|136|59:33.7|DELIVERED|||||44620,0|3,0
408,0|137|35:34.4|RESPONSE||||||
409,0|137|55:49.8|RISK||||||
410,0|137|17:50.7|REJECTED|EMPTY|||||
411,0|139|07:44.7|RESPONSE||||||
412,0|139|56:03.4|RISK||||||
413,0|139|39:23.3|APPROVED|DIGITAL|49,0|4400,0|34,0||
417,0|140|29:17.6|RESPONSE||||||
418,0|140|20:05.2|RISK||||||
419,0|140|45:21.7|APPROVED|PLASTIC|41,0|2200,0|40,0||
420,0|140|17:45.9|DELIVERED|||||44100,0|0,0
424,0|141|50:03.5|RESPONSE||||||
425,0|141|22:48.1|RISK||||||
426,0|141|35:29.7|APPROVED|DIGITAL|49,0|29800,0|41,0||
427,0|142|46:41.1|RESPONSE||||||
428,0|142|45:22.8|RISK||||||
429,0|142|21:40.4|REJECTED|USAGE|||||
430,0|143|51:53.0|RESPONSE||||||
431,0|143|32:38.3|RISK||||||
432,0|143|36:27.4|APPROVED|PLASTIC|32,0|17700,0|46,0||
433,0|143|05:05.1|DELIVERED|||||44100,0|1,0
435,0|145|49:18.2|RESPONSE||||||
436,0|145|48:39.8|RISK||||||
437,0|145|41:43.2|APPROVED|DIGITAL|38,0|37400,0|41,0||
442,0|146|00:00.0|NOT RESPOND||||||
443,0|147|53:27.3|RESPONSE||||||
444,0|147|40:07.6|RISK||||||
445,0|147|14:59.2|APPROVED|DIGITAL|31,0|9600,0|31,0||
451,0|148|03:55.2|RESPONSE||||||
452,0|148|55:48.3|RISK||||||
453,0|148|58:55.6|REJECTED|USAGE|||||
454,0|150|41:48.4|RESPONSE||||||
455,0|150|58:46.8|RISK||||||
456,0|150|18:06.5|APPROVED|PLASTIC|49,0|18900,0|48,0||
457,0|150|51:28.3|DELIVERED|||||44100,0|1,0
463,0|152|00:00.0|NOT RESPOND||||||
464,0|153|00:18.1|RESPONSE||||||
465,0|153|26:55.9|RISK||||||
466,0|153|25:39.6|APPROVED|PLASTIC|42,0|20200,0|37,0||
467,0|153|38:14.1|DELIVERED|||||53100,0|0,0
473,0|154|26:25.7|RESPONSE||||||
474,0|154|17:05.0|RISK||||||
475,0|154|49:04.7|REJECTED|INCOME|||||
476,0|155|17:28.1|RESPONSE||||||
477,0|155|02:19.9|RISK||||||
478,0|155|50:07.8|APPROVED|DIGITAL|45,0|53200,0|32,0||
479,0|158|36:22.5|RESPONSE||||||
480,0|158|37:04.2|RISK||||||
481,0|158|58:33.7|APPROVED|PLASTIC|40,0|36600,0|48,0||
482,0|158|42:34.9|DELIVERED|||||11560,0|2,0
484,0|160|57:11.7|RESPONSE||||||
485,0|160|04:51.4|RISK||||||
486,0|160|55:38.5|APPROVED|PLASTIC|40,0|5100,0|36,0||
487,0|160|44:17.1|DELIVERED|||||64000,0|3,0
490,0|162|58:37.0|RESPONSE||||||
491,0|162|06:27.7|RISK||||||
492,0|162|08:45.9|APPROVED|PLASTIC|49,0|25100,0|37,0||
493,0|162|16:48.8|DELIVERED|||||53100,0|3,0
498,0|163|29:35.1|RESPONSE||||||
499,0|163|03:16.0|RISK||||||
500,0|163|40:57.7|APPROVED|PLASTIC|47,0|4500,0|40,0||
501,0|163|16:36.4|DELIVERED|||||53100,0|5,0
504,0|164|35:25.9|RESPONSE||||||
505,0|164|37:38.1|RISK||||||
506,0|164|58:54.9|APPROVED|PLASTIC|45,0|19600,0|47,0||
507,0|164|49:48.1|DELIVERED|||||64000,0|2,0
509,0|167|27:53.4|RESPONSE||||||
510,0|167|19:52.8|RISK||||||
511,0|167|45:43.6|REJECTED|INCOME|||||
512,0|168|33:28.6|RESPONSE||||||
513,0|168|22:44.1|RISK||||||
514,0|168|52:28.5|APPROVED|PLASTIC|32,0|17700,0|49,0||
515,0|168|31:35.5|DELIVERED|||||53100,0|1,0
521,0|169|00:00.0|NOT RESPOND||||||
522,0|171|47:12.3|RESPONSE||||||
523,0|171|51:28.9|RISK||||||
524,0|171|56:13.6|APPROVED|DIGITAL|45,0|2600,0|43,0||
530,0|172|38:42.6|RESPONSE||||||
531,0|172|14:25.4|RISK||||||
532,0|172|41:04.5|REJECTED|INCOME|||||
533,0|173|44:40.3|RESPONSE||||||
534,0|173|34:47.0|RISK||||||
535,0|173|55:34.5|APPROVED|PLASTIC|44,0|12200,0|46,0||
536,0|173|56:44.5|DELIVERED|||||44100,0|2,0
540,0|174|00:00.0|NOT RESPOND||||||
541,0|176|35:55.3|RESPONSE||||||
542,0|176|38:49.2|RISK||||||
543,0|176|54:44.1|APPROVED|DIGITAL|45,0|22000,0|34,0||
547,0|178|46:41.6|RESPONSE||||||
548,0|178|29:13.2|RISK||||||
549,0|178|16:40.5|APPROVED|PLASTIC|44,0|1500,0|46,0||
550,0|178|49:07.1|DELIVERED|||||11560,0|4,0
552,0|180|29:10.6|RESPONSE||||||
553,0|180|59:52.9|RISK||||||
554,0|180|33:11.6|APPROVED|PLASTIC|36,0|11300,0|34,0||
555,0|180|15:08.9|DELIVERED|||||11560,0|2,0
558,0|181|00:00.0|NOT RESPOND||||||
559,0|182|22:56.0|RESPONSE||||||
560,0|182|01:34.5|RISK||||||
561,0|182|23:52.8|APPROVED|PLASTIC|31,0|73900,0|31,0||
562,0|182|35:53.1|DELIVERED|||||53100,0|1,0
568,0|183|38:46.7|RESPONSE||||||
569,0|183|41:57.6|RISK||||||
570,0|183|44:25.9|REJECTED|EMPTY|||||
571,0|184|00:00.0|NOT RESPOND||||||
572,0|193|07:25.9|RESPONSE||||||
573,0|193|43:04.0|RISK||||||
574,0|193|38:13.7|REJECTED|INCOME|||||
575,0|194|50:40.3|RESPONSE||||||
576,0|194|45:06.7|RISK||||||
577,0|194|26:09.4|APPROVED|DIGITAL|34,0|6100,0|46,0||
579,0|196|00:00.0|NOT RESPOND||||||
580,0|197|21:12.7|RESPONSE||||||
581,0|197|49:19.1|RISK||||||
582,0|197|35:50.6|APPROVED|PLASTIC|45,0|1900,0|41,0||
583,0|197|44:58.4|DELIVERED|||||44620,0|0,0
586,0|200|54:39.4|RESPONSE||||||
587,0|200|44:19.4|RISK||||||
588,0|200|11:52.9|APPROVED|PLASTIC|35,0|2000,0|34,0||
589,0|200|15:20.0|DELIVERED|||||44620,0|2,0
592,0|201|08:01.2|RESPONSE||||||
593,0|201|24:11.2|RISK||||||
594,0|201|28:44.1|REJECTED|MOP|||||
595,0|202|35:15.5|RESPONSE||||||
596,0|202|39:15.1|RISK||||||
597,0|202|16:39.8|REJECTED|INCOME|||||
598,0|203|05:43.4|RESPONSE||||||
599,0|203|13:27.5|RISK||||||
600,0|203|32:05.1|APPROVED|PLASTIC|46,0|20700,0|46,0||
601,0|203|22:34.8|DELIVERED|||||53100,0|3,0
603,0|205|00:00.0|NOT RESPOND||||||
604,0|206|00:00.0|NOT RESPOND||||||
605,0|207|00:00.0|NOT RESPOND||||||
606,0|208|00:00.0|NOT RESPOND||||||
607,0|209|04:35.8|RESPONSE||||||
608,0|209|54:08.1|RISK||||||
609,0|209|06:31.0|APPROVED|DIGITAL|40,0|4100,0|43,0||
611,0|211|00:00.0|NOT RESPOND||||||
612,0|212|43:08.0|RESPONSE||||||
613,0|212|38:35.5|RISK||||||
614,0|212|10:46.9|APPROVED|DIGITAL|47,0|3600,0|48,0||
620,0|213|23:26.2|RESPONSE||||||
621,0|213|18:39.9|RISK||||||
622,0|213|40:26.1|REJECTED|INCOME|||||
623,0|216|32:21.6|RESPONSE||||||
624,0|216|44:21.3|RISK||||||
625,0|216|56:58.0|APPROVED|PLASTIC|33,0|32100,0|40,0||
626,0|216|04:36.7|DELIVERED|||||44100,0|4,0
629,0|217|11:59.0|RESPONSE||||||
630,0|217|58:45.5|RISK||||||
631,0|217|29:45.3|APPROVED|PLASTIC|48,0|13400,0|47,0||
632,0|217|50:10.6|DELIVERED|||||64000,0|1,0
633,0|218|41:28.0|RESPONSE||||||
634,0|218|31:03.8|RISK||||||
635,0|218|59:11.9|APPROVED|PLASTIC|47,0|39400,0|41,0||
636,0|218|59:47.5|DELIVERED|||||44100,0|1,0
642,0|219|35:29.9|RESPONSE||||||
643,0|219|37:34.9|RISK||||||
644,0|219|02:57.9|REJECTED|MOP|||||
645,0|221|41:09.8|RESPONSE||||||
646,0|221|59:41.9|RISK||||||
647,0|221|14:35.3|APPROVED|DIGITAL|31,0|36400,0|41,0||
653,0|222|29:12.8|RESPONSE||||||
654,0|222|13:39.8|RISK||||||
655,0|222|04:31.5|APPROVED|PLASTIC|42,0|6700,0|38,0||
656,0|222|16:02.8|DELIVERED|||||44620,0|0,0
659,0|223|14:17.3|RESPONSE||||||
660,0|223|56:28.0|RISK||||||
661,0|223|28:10.9|APPROVED|PLASTIC|43,0|1300,0|42,0||
662,0|223|03:53.9|DELIVERED|||||53100,0|2,0
664,0|224|00:00.0|NOT RESPOND||||||
665,0|225|00:00.0|NOT RESPOND||||||
666,0|226|28:24.8|RESPONSE||||||
667,0|226|15:42.9|RISK||||||
668,0|226|08:29.2|APPROVED|PLASTIC|40,0|9100,0|47,0||
669,0|226|46:44.0|DELIVERED|||||53100,0|0,0
673,0|229|00:00.0|NOT RESPOND||||||
674,0|230|00:00.0|NOT RESPOND||||||
675,0|231|41:49.1|RESPONSE||||||
676,0|231|27:43.2|RISK||||||
677,0|231|32:56.1|APPROVED|PLASTIC|49,0|8800,0|37,0||
678,0|231|47:43.8|DELIVERED|||||64000,0|2,0
681,0|232|17:14.7|RESPONSE||||||
682,0|232|01:24.0|RISK||||||
683,0|232|01:30.9|APPROVED|PLASTIC|48,0|18400,0|36,0||
684,0|232|17:56.9|DELIVERED|||||11560,0|1,0
685,0|234|53:29.4|RESPONSE||||||
686,0|234|51:30.9|RISK||||||
687,0|234|28:16.8|APPROVED|PLASTIC|31,0|10000,0|45,0||
688,0|234|36:48.9|DELIVERED|||||53100,0|1,0
694,0|236|00:00.0|NOT RESPOND||||||
695,0|237|00:00.0|NOT RESPOND||||||
696,0|238|34:07.0|RESPONSE||||||
697,0|238|13:20.7|RISK||||||
698,0|238|25:12.2|APPROVED|PLASTIC|36,0|4700,0|33,0||
699,0|238|45:56.9|DELIVERED|||||44100,0|3,0
702,0|239|51:55.3|RESPONSE||||||
703,0|239|29:44.4|RISK||||||
704,0|239|07:01.0|REJECTED|EMPTY|||||
705,0|242|39:59.3|RESPONSE||||||
706,0|242|33:41.7|RISK||||||
707,0|242|52:19.6|APPROVED|PLASTIC|48,0|3000,0|46,0||
708,0|242|44:49.3|DELIVERED|||||11560,0|2,0
710,0|245|16:55.7|RESPONSE||||||
711,0|245|53:05.9|RISK||||||
712,0|245|34:09.7|APPROVED|PLASTIC|34,0|1400,0|44,0||
713,0|245|41:57.9|DELIVERED|||||53100,0|2,0
719,0|246|18:14.9|RESPONSE||||||
720,0|246|22:28.6|RISK||||||
721,0|246|37:44.1|APPROVED|PLASTIC|30,0|16800,0|36,0||
722,0|246|08:27.3|DELIVERED|||||11560,0|2,0
723,0|247|11:56.6|RESPONSE||||||
724,0|247|39:53.9|RISK||||||
725,0|247|46:06.8|APPROVED|PLASTIC|35,0|4900,0|39,0||
726,0|247|58:18.3|DELIVERED|||||53100,0|2,0
728,0|249|44:50.8|RESPONSE||||||
729,0|249|37:58.6|RISK||||||
730,0|249|38:56.7|APPROVED|PLASTIC|35,0|9100,0|35,0||
731,0|249|26:08.0|DELIVERED|||||44100,0|4,0
732,0|250|36:40.3|RESPONSE||||||
733,0|250|50:54.5|RISK||||||
734,0|250|38:23.4|APPROVED|DIGITAL|37,0|5000,0|34,0||
740,0|251|00:00.0|NOT RESPOND||||||
741,0|252|00:00.0|NOT RESPOND||||||
742,0|253|24:15.1|RESPONSE||||||
743,0|253|54:38.0|RISK||||||
744,0|253|12:56.9|APPROVED|PLASTIC|45,0|8600,0|34,0||
745,0|253|22:34.6|DELIVERED|||||44100,0|3,0
751,0|254|00:00.0|NOT RESPOND||||||
752,0|255|33:21.4|RESPONSE||||||
753,0|255|18:23.9|RISK||||||
754,0|255|37:55.5|REJECTED|EMPTY|||||
755,0|256|00:00.0|NOT RESPOND||||||
756,0|257|00:00.0|NOT RESPOND||||||
757,0|258|00:00.0|NOT RESPOND||||||
758,0|259|04:38.0|RESPONSE||||||
759,0|259|48:06.0|RISK||||||
760,0|259|08:01.7|REJECTED|USAGE|||||
761,0|261|00:00.0|NOT RESPOND||||||
762,0|262|34:36.3|RESPONSE||||||
763,0|262|42:11.7|RISK||||||
764,0|262|45:09.4|APPROVED|PLASTIC|36,0|28500,0|37,0||
765,0|262|20:28.0|DELIVERED|||||53100,0|2,0
769,0|263|18:45.9|RESPONSE||||||
770,0|263|34:18.0|RISK||||||
771,0|263|15:28.6|APPROVED|PLASTIC|44,0|27900,0|31,0||
772,0|263|42:27.0|DELIVERED|||||11560,0|0,0
777,0|264|29:41.7|RESPONSE||||||
